seq,realized_pnl_usd,position_qty
4849,-20.144515,0
4901,-20.290962,-1000000
4953,-20.493721,0
5012,-20.640168,-1000000
5056,-20.828124,0
5081,-20.974565,1000000
5081,-21.121006,2000000
5117,-21.274146,1000000
5168,-21.420593,2000000
5193,-21.567027,3000000
5221,-21.738630,2000000
5280,-21.885076,3000000
5324,-22.049493,2000000
5347,-22.148123,1000000
5348,-22.242654,0
5384,-22.389108,1000000
5435,-22.572155,0
5487,-22.718613,1000000
5547,-22.916960,0
5591,-23.063416,1000000
5613,-23.209857,2000000
5616,-23.356298,3000000
5652,-23.530505,2000000
5701,-23.676952,3000000
5753,-23.877799,2000000
5813,-24.024245,3000000
5857,-24.208591,2000000
5880,-24.325051,1000000
5881,-24.437012,0
5919,-24.583465,1000000
5969,-24.761713,0
6021,-24.908171,1000000
6081,-25.106419,0
6124,-25.252874,1000000
6147,-25.399316,2000000
6148,-25.545757,3000000
6187,-25.719131,2000000
6236,-25.865578,3000000
6288,-26.065069,2000000
6321,-26.184776,1000000
6348,-26.331222,2000000
6395,-26.504091,1000000
6415,-26.616271,0
6453,-26.762725,1000000
6501,-26.941371,0
6556,-27.087829,1000000
6589,-27.234272,2000000
6616,-27.389920,1000000
6661,-27.536373,2000000
6681,-27.682814,3000000
6717,-27.868488,2000000
6769,-28.014935,3000000
6792,-28.161370,4000000
6821,-28.351547,3000000
6855,-28.461341,2000000
6881,-28.607786,3000000
6928,-28.778088,2000000
6949,-28.884202,1000000
6985,-29.030655,2000000
7035,-29.188683,1000000
7060,-29.284723,0
7089,-29.431180,1000000
7124,-29.577622,2000000
7148,-29.733470,1000000
7196,-29.879923,2000000
7216,-30.026364,3000000
7252,-30.209505,2000000
7304,-30.355952,3000000
7327,-30.502386,4000000
7356,-30.689747,3000000
7391,-30.799223,2000000
7416,-30.945669,3000000
7461,-31.112360,2000000
7483,-31.218762,1000000
7520,-31.365216,2000000
7571,-31.521238,1000000
7592,-31.617672,0
7621,-31.764130,1000000
7655,-31.910572,2000000
7681,-32.066921,1000000
7728,-32.213374,2000000
7749,-32.359815,3000000
7787,-32.541623,2000000
7836,-32.688070,3000000
7859,-32.834504,4000000
7889,-33.023773,3000000
7948,-33.170219,4000000
7992,-33.344384,3000000
8015,-33.454861,2000000
8016,-33.562738,1000000
8055,-33.709191,2000000
8104,-33.862801,1000000
8127,-33.956623,0
8156,-34.103080,1000000
8192,-34.249522,2000000
8215,-34.404770,1000000
8263,-34.551224,2000000
8281,-34.697665,3000000
8320,-34.880506,2000000
8371,-35.026953,3000000
8423,-35.231322,2000000
8457,-35.359107,1000000
8483,-35.505552,2000000
8528,-35.681460,1000000
8551,-35.796379,0
8587,-35.942832,1000000
8637,-36.117580,0
8660,-36.264039,-1000000
8691,-36.401496,0
8721,-36.547939,1000000
8749,-36.664387,0
8797,-36.810840,1000000
8816,-36.957281,2000000
8856,-37.132723,1000000
8904,-37.279169,2000000
8927,-37.425604,3000000
8956,-37.604507,2000000
8992,-37.707625,1000000
9016,-37.854071,2000000
9063,-38.018045,1000000
9083,-38.121931,0
9123,-38.268383,1000000
9172,-38.439331,0
9192,-38.585790,-1000000
9224,-38.725848,0
9253,-38.872290,1000000
9284,-38.988739,0
9329,-39.135192,1000000
9348,-39.281634,2000000
9388,-39.459275,1000000
9437,-39.605721,2000000
9460,-39.752156,3000000
9491,-39.930159,2000000
9523,-40.032477,1000000
9549,-40.178923,2000000
9597,-40.341397,1000000
9616,-40.446683,0
9655,-40.593136,1000000
9705,-40.768383,0
9727,-40.914842,-1000000
9759,-41.053399,0
9792,-41.199842,1000000
9817,-41.316291,0
9864,-41.462743,1000000
9883,-41.609185,2000000
9923,-41.783776,1000000
9972,-41.930222,2000000
9992,-42.076657,3000000
10024,-42.255077,2000000
10055,-42.358112,1000000
10084,-42.504557,2000000
10131,-42.665490,1000000
10149,-42.771134,0
10169,-42.917592,-1000000
10189,-43.033245,0
10217,-43.179687,1000000
10239,-43.296135,0
10271,-43.442597,-1000000
10295,-43.559053,0
10323,-43.705495,1000000
10351,-43.821944,0
10397,-43.968397,1000000
10456,-44.173738,0
10488,-44.320190,-1000000
10507,-44.436636,0
10527,-44.583071,1000000
10535,-44.729503,2000000
10561,-44.852592,1000000
10589,-44.911193,0
10617,-45.057639,1000000
10664,-45.224480,0
10723,-45.370933,1000000
10772,-45.542780,0
10793,-45.689239,-1000000
10825,-45.827496,0
10853,-45.973940,1000000
10885,-46.090389,0
10931,-46.236841,1000000
10949,-46.383283,2000000
10991,-46.557824,1000000
11020,-46.679076,0
11040,-46.825522,1000000
11059,-46.971958,2000000
11069,-47.118390,3000000
11095,-47.263828,2000000
11121,-47.344279,1000000
11151,-47.490724,2000000
11199,-47.638065,1000000
11259,-47.784517,2000000
11285,-47.930959,3000000
11308,-48.063007,2000000
11327,-48.142066,1000000
11336,-48.206527,0
11361,-48.352983,1000000
11388,-48.499427,2000000
11420,-48.645976,1000000
11447,-48.748234,0
11467,-48.894687,1000000
11493,-49.041124,2000000
11527,-49.194868,1000000
11551,-49.306720,0
11575,-49.453165,1000000
11593,-49.599601,2000000
11601,-49.746033,3000000
11629,-49.888872,2000000
11653,-49.971023,1000000
11685,-50.117467,2000000
11731,-50.264159,1000000
11792,-50.410611,2000000
11821,-50.557052,3000000
11840,-50.689150,2000000
11868,-50.752962,1000000
11896,-50.899417,2000000
11920,-51.045861,3000000
11953,-51.185094,2000000
11999,-51.331546,3000000
12057,-51.515844,2000000
12107,-51.662290,3000000
12127,-51.808725,4000000
12160,-51.996865,3000000
12187,-52.117418,2000000
12220,-52.263862,3000000
12265,-52.427339,2000000
12283,-52.537726,1000000
12325,-52.684178,2000000
12349,-52.830620,3000000
12375,-52.966947,2000000
12395,-53.051384,1000000
12400,-53.123723,0
12431,-53.270178,1000000
12453,-53.416622,2000000
12487,-53.561472,1000000
12533,-53.707924,2000000
12592,-53.897417,1000000
12616,-54.040119,0
12641,-54.186564,1000000
12660,-54.333000,2000000
12667,-54.479432,3000000
12696,-54.622404,2000000
12721,-54.704988,1000000
12753,-54.851433,2000000
12776,-54.997869,3000000
12800,-55.133155,2000000
12828,-55.194856,1000000
12837,-55.245859,0
12861,-55.392309,1000000
12884,-55.538751,2000000
12908,-55.675999,1000000
12935,-55.746260,0
12964,-55.892716,1000000
12988,-56.039159,2000000
13020,-56.186308,1000000
13045,-56.287767,0
13067,-56.434219,1000000
13092,-56.580657,2000000
13128,-56.733451,1000000
13151,-56.847152,0
13176,-56.993598,1000000
13200,-57.140031,2000000
13231,-57.288419,1000000
13253,-57.379720,0
13287,-57.526164,1000000
13333,-57.686505,0
